Conword,Local,Type,Gender,Definitions
bunn,to shine,verb,,"1d – x shines, 2 x shines on LOC"
bilj,to hop,verb,,1d – x hops
bilru,seal,noun,animate,also a totem
birru,oceanm,noun,animate,the ocean is animate because it is a dreamtime figure
birruku,blue,adjective,,
bunna,twin,noun,animate,"twin, for their twin"
baj,to look,verb ,,"1d – x looks, 2 x looks at LOC"
baalu,map,noun,inanimate,
gaj,to teach,verb,,1d x learns2d x teaches to y
gajangu,teacher,noun,inanimate,
gaju,wind,noun,inanimate,
gajurki,high wind,noun,inanimate,
gajuwa,breath,noun,animate,
gaka,soil,noun,inanimate,
ganu,heavy,adjective,,applies to rain
gann,to pick up/drop,verb,,"2d – x picks up ORI, x drops REV"
garanya,adult,noun,animate,applies to adults of the speaker's totem
garrna,quickly,adverb,,
garrna yaj,to sprint,verb,,"2d - x sprints away from y (x subj, y rev)"
gaypa,mountain,noun,inanimate,
gaypamunna,mountain stream,noun,inanimate,
giinn,to admire,verb,,2d x admires y
giirki,"seed, one's baby",noun,animate,
giirr,to win,verb,,
giirra,heavy,adjective,,of an object
gij,to know,verb,,to know a person (like French connaitre)2d x knows y
giriirki,head,noun,inanimate,only applies to animal heads
girr,to feel,verb,,"means to feel, sense, intuit
aux: gurr
1d: x senses something
2: x feels that y (SENTENCE in subj)"
girrinnalu,head,noun,inanimate,human head. lit. feeling place
girrnn,to break,verb,,1 - x breaks2d - x breaks y
gu,small,adjective,,
gugannari,forest,noun,inanimate,
gukarr,to drop,verb,,2d x drops y
gulwaj,to give,verb,,"2 – x gives to y
3d - x gives z to y (z comitative)
Special auxiliary: gulw-"
gunya,black wallaby,noun,animate,also a totem
gunn,to smell,verb,,2d x smells y
gunnari,tree,noun,inanimate,
gunnunnalu,nose,noun,inanimate,lit. smelling place
gurlu,freshness,noun,inanimate,
gurlunga,stale,adjective,,derived from gurlu (freshness) and the revertive suffix
gurlurni,fresh,adjective,,derived from gurlu (freshness) and the orientative suffix
gurr,to have,verb,,"2 x has y
3d x has y in z manner (z com)
Aux: garr"
gurru,child,noun,animate,"fellow child (e.g. for a child), older fellow-child"
gurrurna,child,noun,animate,younger fellow-child
guu,two,,,
guwa,leaf,noun,inanimate,living leaf
jaaj,to taste,verb,,2d x tastes y
jaajannalu,tongue,noun,inanimate,lit. tasting place
jaku,precious,adjective,,
janyu,breasts,noun,inanimate,singular
jari,beach,noun,inanimate,
jarrnu,sharp,adjective,,
jarta,homeland,noun,inanimate,a mob's home area
jaru,four,,,
jawu,nine,,,
jii,adult,noun,animate,applies to adults of a different totem
jinn,to eat,verb,,min1 - to eatd2 - something eats something
jinninnalu,mouth,noun,inanimate,lit. eating place
jul,age,noun,inanimate,
junn,swim,verb,,1d - to swim2 - x swims to y (y locative)
junn,to canoe,verb,,"derived from compounding walj (""to sit"") and junn (""to swim"").1d - x canoes2d - x canoes to y (y in locative)"
junn,fast,adjective,,
jurj,to follow,verb,,"1 x is ""hot on the trail""2d x follows y"
jurlu,turtle,noun,animate,
jurni,new,adjective,,derived from jul (age) and the orientative case suffix
juunwi,satin bowerbird,noun,animate,also a totem
kanaa,reed,noun,inanimate,
kanaama,woven,adjective,,derived from 'kanaa' (reed) in the instrumental case
karlpii,impatiently,adverb,,
karlpii ngann,to guzzle,verb,,"as in ""he guzzles down his water""2d - x guzzles y (x subj, y obj)"
karti,thin,adjective,,
kartirti,very thin,adjective,,"of thickness, derived from karti (thin)"
kii,sunset,noun,inanimate,
kiiku,orange,adjective,,
kujari,Southern Cassowary,,,(fig) a person prone to listlessness
kupaarki,egg,noun,animate,
kurlu,thing,noun,inanimate,inanimate or animate depending on what it is standing for
ma,one,,,
maaju,kangaroo,noun,animate,applies only to living kangaroos
mann,to wish,verb,,1 x is a dreamer2d x wishes that y (SENTENCE)
manna,root,noun,inanimate,dead
miinya,aunty,noun,animate,a female adult of the same totem
miinna,vast,adjective,,
miirlta,belly,noun,inanimate,
mirr,to bring,verb,,3d - x brings y to z (ORI)       x brings y from z (REV)
mirra,warm,adjective,,environmental; between roughly 15 and 25 degrees
mirrarra,hot,adjective,,environmental; between roughly 25 and 35 degrees
mu,water,noun,inanimate,
mu nnij,to capsize,verb,,1d - x capsizes
mulj,to wet,verb,,1 x becomes wet2d x wets y
mulu,dead fish,noun,inanimate,
mulyi,mother,noun,animate,
mungaj,to sit / to rest,verb,,"not animate sitting down, more like ""apple sits on table"""
mungu,woman,noun,animate,
mungurki,girl,noun,animate,
munna,stream,noun,inanimate,
munnanna,river,noun,inanimate,
munya,"long, wide",adjective,,applies to an object
murr,to exchange,verb,,"2 - x and y exchange (x subj, y com)3 - x and y exchange their z(s) (x subj, y com, z instr)4d - x exchanges their y with the z of w (x subj, w instr, y rev, z ori)"
murta,berry,noun,inanimate,
muu,spirit,noun,animate,
muuti,freezing,adjective,,environmental; lower than roughly 0 degrees
muuyi,hair,noun,inanimate,"human hair, on head"
naa,three,,,
naj,to say,verb,,"2: x speaks to yd3: x says y to z (x subject, z object, y comitative)"
naju,rock,noun,inanimate,a rock that isn't big enough to be a boulder :(
naju,one,,,
nalwi,six,,,
narnn,to fly,verb,,2d x flies to y (LOC)
narr,to hear,verb,,2d x hears y
narrannalu,ear,noun,inanimate,lit. hearing place
narrii,grey nurse shark,noun,animate,
narriirna,the Twelve Apostles,noun,animate,"Derived from narrii (grey nurse shark) and the containerisation affix ""rna"""
nart,zero,,,
ngann,to drink,verb,,"2d - x drinks y (x subj, y obj)"
ngannannalu,neck,noun,inanimate,lit. drinking place
ngarj,to hurt,verb,,1d x becomes hurt / hurts themself2 x hurts y
ngarra,knee,noun,inanimate,
ngirra,foot,noun,inanimate,
nguku,black,,,
nguku-tumwaku,grey,adjective,,
ngunaju,liver,noun,animate,lit. person stonethe liver is said to give the person their soul
ngungu,mob,noun,animate,refers to the speaker's mob
nguninya,very hot,adjective,,environmental; above 35 degrees
ngunna,flesh,noun,inanimate,
ngurki,skin,noun,inanimate,
ngurr,to be,verb,,2d – x is y
nguwa,Elder,noun,animate,
niinga,seal,noun,animate,
nnarta,child,noun,animate,child (same totem)
nnaawi,leaf,noun,inanimate,dead
nnaawi,child,noun,animate,child (different totem)
nnalj,to be near,verb,,"2d: x is near to y (x subj, y ori)"
nnalji,dingo,noun,animate,
nnalu,"ground, land",noun,inanimate,"as in ""on the ground"""
nnarma,body hair,noun,inanimate,
nnarr,to fly,verb,,0d - the wind blows1 - x flies2 - x flies to y (LOC)
nnij,to fall,verb,,"synonym for ""yarr""1 x falls onto the ground2d x falls from y (REV)"
nnurr,"to cause, effect",verb,,"2d x SEN causes y SEN
mostly used in causatives
aux: nnurr"
nnurru,sacred place,noun,inanimate,a sacred place for members of a single totem
nujuyi,ten,,,
nungurr,to stand,verb,,1d - x stands
nurku,green,adjective,,
nurli,seaweed,noun,,
nurtwu,food,noun,inanimate,
nuunn,to travel,verb,,"2d - x travels with y (y in comitative)3 - x travels to z with y (y com, z loc)"
nuunnamurr,to trade,verb,,"Applies to trading with another mob.Derived from nuunn (to travel) and murr (to exchange).2 - x and y trade (x subj, y com)3 - x and y trade their z(s) (x subj, y com, z instr)4d - x trades their y with the z of w (x subj, w instr, y rev, z ori)"
palwuu,root,noun,inanimate,living
palwuula,branch,noun,inanimate,"living (no dead equivalent, use wood)"
pupa,happy,adjective,,
pangii,small,adjective,,"absolute form, smaller than a human"
pangiigi,tiny,adjective,,derived from pangii (absolute mall)
pangiipu,small,adjective,,relative form
panki,cold-blooded animal,noun,inanimate,
panwa,fire,noun,inanimate,
panwarki,ash,noun,inanimate,
panwarna,fireplace,noun,inanimate,
panwawa,bushfire,noun,animate,
panyi,relaxedly,adverb,,
panyi mungaj,to recline,verb,,1d - x reclines
paparrna,corpse,noun,inanimate,"referring to the corpse of a mammal only, not a fish or reptilederived from parrna (bone) through partial reduplication"
parnti,kangaroo meat,noun,inanimate,
parr,to hunt,verb,,2d x hunts y
parra,hunt,noun,inanimate,
parrna,bone,noun,inanimate,
parrnawa,tooth,noun,inanimate,dimin. of bone
pawkii,warm-blooded animal,noun,animate,
pilkiya,platypus,noun,animate,also a totem
pirr,see,verb,,"1 - x sees, x is knowledgeable2d - x sees y"
pirraa,knowledge,noun,animate,
pirrinnalu,eye,noun,inanimate,
pirwa,clothing,noun,inanimate,
purki,weakly,adverb,,Used in lexical verb diminuation
purki gulwaj,to offer,verb,,
purki jinn,to nibble,verb,,
purki yaj,to walk,verb,,2d x walks to y (LOC)     x comes to/from (ORI/REV)
puu,sun,noun,animate,
puuku,day,noun,inanimate,
puula,tail,noun,inanimate,
puuli,yellow,adjective,,
puurki,star,noun,inanimate,
puurna,sky,noun,inanimate,
puwa,seven,adjective,,
puwa,strongly,adverb,,Used in lexical verb augmentation
