ID,Description,Entry_ID,Encyclopedic_Info,Derived_From,See_Also,Notes
SN000001,"to shine light, like the sun",bunn,,,,
SN000002,to hop on both legs like a kangaroo,bilj,,,,
SN000003,an Australian fur seal,bilru,,,,
SN000004,"in mythology, one of the four Totems of the Ngujari people",bilru,,,,
SN000005,the ocean or sea,birru,The ocean is an animate noun because Birru is a Dreamtime figure,,,
SN000006,blue,birruku,,,,
SN000007,"person who acts similarly to another, their “twin”",bunna,,,,
SN000008,to look at or regard something,baj,,,,
SN000009,map of geography,baalu,,,,
SN000010,to teach someone,gaj,,,,
SN000011,to learn or understand new knowledge,gaj_2,,,,
SN000012,teacher,gajangu,,,,
SN000013,wind,gaju,,,,
SN000014,high wind,gajurki,,gaju,,
SN000015,breath of a person or animal,gajuwa,,gaju,,
SN000016,"soil, used in farming or cultivation",gaka,,,,
SN000017,"heavy, of rain or water flow",ganu,,,giirra,
SN000018,"to pick up or drop, depending on the case of the object",gann,,,,
SN000019,adult of the same Totem as the speaker,garanya,,,jii,
SN000020,quickly,garrna,,,,
SN000021,to sprint away from something,garrna yaj,,,,
SN000022,mountain,gaypa,,,,
SN000023,mountain stream,gaypamunna,,"gaypa,munna",,
SN000024,to admire or be proud of,giinn,,,,
SN000025,"seed, of plant",giirki,,,,
SN000026,(informal) baby,giirki,,,,
SN000027,to win,giirr,,,,
SN000028,"heavy, of object",giirra,,,ganu,
SN000029,to know a person,gij,,,,
SN000030,head of a dead animal,giriirki,,,,
SN000031,to sense or intuit,girr,,,,
SN000032,human head (lit. feeling place),girrinnalu,,,,
SN000033,to break an object,girrnn,,,,
SN000034,small,gu,,,,
SN000035,forest,gugannari,,,,
SN000036,to drop,gukarr,,,gann,
SN000037,to give,gulwaj,,,,
SN000038,Black Wallaby,gunya,,,,
SN000039,"in mythology, one of the four Totems of the Ngujari people",gunya,,,,
SN000040,to smell something,gunn,,,,
SN000041,"tree, larger than a sapling",gunnari,,,,
SN000042,nose (lit. smelling place),gunnunnalu,,,,
SN000043,"freshness, of food",gurlu,,,,
SN000044,"stale, of food",gurlunga,,gurlu,,
SN000045,"fresh, of food",gurlurni,,gurlu,,
SN000046,to have or possess,gurr,,,,
SN000047,"fellow or older fellow-child, for a child speaker",gurru,,gurru,,
SN000048,"younger fellow-child, for a child speaker",gurrurna,,,,
SN000049,two,guu,,,,
SN000050,living leaf,guwa,,,nnaawi,
SN000051,to taste,jaaj,,,,
SN000052,tongue (lit. tasting place),jaajannalu,,,,
SN000053,precious or rare,jaku,,,,
SN000054,human breasts,janyu,,,,
SN000055,beach with sand,jari,,,,
SN000056,(fig) place or person where treasure can be found below the surface,jari,,,,
SN000057,"sharp, of instrument",jarrnu,,,,
SN000058,"homeland, the home area of a mob",jarta,,,,
SN000059,four,jaru,,,,
SN000060,nine,jawu,,,,
SN000061,adult of a different Totem to the speaker,jii,,,garanya,
SN000062,to eat,jinn,,,,
SN000063,mouth (lit. eating place),jinninnalu,,,,
SN000064,age of a person or place,jul,,,,
SN000065,to swim to a place,junn,,,,
SN000066,to canoe,waljunn,,,"junn,walj",
SN000067,fast,junn_2,,,,
SN000068,to follow a person or an animal,jurj,,,,
SN000069,to be “hot on the trail” of something,jurj,,,,
SN000070,turtle,jurlu,,,,
SN000071,new,jurni,,,jul,
SN000072,satin bowerbird,juunwi,,,,
SN000073,"in mythology, one of the four Totems of the Ngujari people",juunwi,,,,
SN000074,reed,kanaa,,,,
SN000075,(arch) any plant with a stalk,kanaa,,,,
SN000076,woven,kanaama,,kanaa,,
SN000077,impatiently,karlpii,,,,
SN000078,to guzzle,karlpii ngann,,"karlpii,ngann",,
SN000079,"thin, of object",karti,,,,
SN000080,"very thin, of object",kartirti,,karti,,
SN000081,sunset,kii,,,,
SN000082,orange,kiiku,,,,
SN000083,Southern Cassowary,kujari,The Southern Cassowary is seen as untamable and always in control. However it seems to have no definite plans and spends its time wandering aimlessly. This sentiment can be applied to people.,,,
SN000084,(fig) a person prone to listlessness,kujari,,,,
SN000085,egg,kupaarki,,,,
